event_id,match_id,rally_id,sequence,set,score_home,score_away,team,player,skill,outcome,evaluation,origin_zone,target_zone,timestamp,raw_code
b92c62db-50cc-4a21-b667-533791ea721b,6e7eeb39-c0dc-448d-b595-297a3041c17a,5b5cef08-6314-41ac-9fc8-6581bb0e5bf3,68,1,6,6,0b69626a-72f0-4763-b9d2-55451002d909,,attack,point,excellent,,,1789429914620,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado attack excellent
877f7d0e-1512-48eb-8135-1d3859f009b1,6e7eeb39-c0dc-448d-b595-297a3041c17a,b3e6775b-cf0d-42e5-95da-40d2fb198b83,71,1,6,7,0b69626a-72f0-4763-b9d2-55451002d909,b5e5787b-9078-4f5a-b5f5-c6c37faef7ba,serve,neutral,neutral,,,1789429935272,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #07 serve neutral
86925ff9-c02a-4bd0-bc3f-00021adf647e,6e7eeb39-c0dc-448d-b595-297a3041c17a,b3e6775b-cf0d-42e5-95da-40d2fb198b83,72,1,6,7,1df68542-fd9a-4794-8afb-fd63936ae052,,reception,neutral,neutral,,,1789429938080,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 Sem atleta identificado reception neutral
00d5652a-c1e4-42a7-a68a-8760cbf3efc3,6e7eeb39-c0dc-448d-b595-297a3041c17a,b3e6775b-cf0d-42e5-95da-40d2fb198b83,77,1,6,7,1df68542-fd9a-4794-8afb-fd63936ae052,65444b38-1d8f-461b-a523-d3af39b2ead2,attack,point,excellent,,,1789429974013,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #01 attack excellent
7e6cf04a-29bf-4554-bbab-c63bd0d178dd,6e7eeb39-c0dc-448d-b595-297a3041c17a,b71cffdb-b7c5-4aeb-a4cd-e970d044e45d,80,1,7,7,1df68542-fd9a-4794-8afb-fd63936ae052,e3263dce-a0a0-4369-aa51-f13c6f577703,serve,neutral,neutral,,,1789429984154,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #08 serve neutral
46025bf8-ba2f-4704-ae3c-de48d03121d9,6e7eeb39-c0dc-448d-b595-297a3041c17a,b71cffdb-b7c5-4aeb-a4cd-e970d044e45d,81,1,7,7,0b69626a-72f0-4763-b9d2-55451002d909,,reception,neutral,neutral,,,1789429986148,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado reception neutral
bd413238-be1c-4e7f-b6d4-2085d7f63754,6e7eeb39-c0dc-448d-b595-297a3041c17a,b71cffdb-b7c5-4aeb-a4cd-e970d044e45d,82,1,7,7,0b69626a-72f0-4763-b9d2-55451002d909,,attack,point,excellent,,,1789429990606,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado attack excellent
7c69588f-4425-4bbb-8b4e-0469b33eb60a,6e7eeb39-c0dc-448d-b595-297a3041c17a,48fa6601-7c34-43a9-8afa-f03a61be52c8,85,1,7,8,0b69626a-72f0-4763-b9d2-55451002d909,257f0f7e-afe6-4e20-b7e3-aa6892cea46e,serve,error,error,,,1789430034957,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #08 serve error
21360ff2-9933-47c1-8ed8-681da586d1d3,6e7eeb39-c0dc-448d-b595-297a3041c17a,83e189e6-e6b0-4996-8487-d2e0d7767520,88,1,8,8,1df68542-fd9a-4794-8afb-fd63936ae052,65444b38-1d8f-461b-a523-d3af39b2ead2,serve,error,error,,,1789430059526,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #01 serve error
7f91a246-726c-40be-ac50-4708a99a7d90,6e7eeb39-c0dc-448d-b595-297a3041c17a,a3c0f0b0-26fb-431c-b6a7-f94bb4d2dc58,91,1,8,9,0b69626a-72f0-4763-b9d2-55451002d909,95139c21-030c-424b-b994-3a1ec5c08fd4,serve,neutral,neutral,,,1789430080126,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #09 serve neutral
5fb4d97c-a5c6-4b5b-b759-9a292601fd60,6e7eeb39-c0dc-448d-b595-297a3041c17a,a3c0f0b0-26fb-431c-b6a7-f94bb4d2dc58,92,1,8,9,1df68542-fd9a-4794-8afb-fd63936ae052,65444b38-1d8f-461b-a523-d3af39b2ead2,reception,neutral,neutral,,,1789430083736,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #01 reception neutral
d4a56a72-f4f5-4cc9-b413-97e1667bbbad,6e7eeb39-c0dc-448d-b595-297a3041c17a,a3c0f0b0-26fb-431c-b6a7-f94bb4d2dc58,93,1,8,9,1df68542-fd9a-4794-8afb-fd63936ae052,58f544c9-518f-4c43-9b58-2e710e3dd9d3,attack,error,error,,,1789430090998,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #03 attack error
34067bc7-1437-432d-b6f1-3d554e197e68,6e7eeb39-c0dc-448d-b595-297a3041c17a,6d0ea0a4-5a57-4cf8-b9d2-c6e7ac684e25,96,1,8,10,0b69626a-72f0-4763-b9d2-55451002d909,95139c21-030c-424b-b994-3a1ec5c08fd4,serve,error,error,,,1789430101289,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #09 serve error
35e0eafd-00bf-45be-b66e-2472c3428669,6e7eeb39-c0dc-448d-b595-297a3041c17a,b42d23a9-c849-43c5-bc4f-4b262ef97f7e,99,1,9,10,1df68542-fd9a-4794-8afb-fd63936ae052,18e1ff26-1fa6-48ba-84b1-cb8bf9fd3b50,serve,error,error,,,1789430122596,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #02 serve error
27e8c509-942b-416d-af8b-e107e843a40a,6e7eeb39-c0dc-448d-b595-297a3041c17a,68dbc96b-3a5c-4730-bb82-cfad0e648146,102,1,9,11,0b69626a-72f0-4763-b9d2-55451002d909,5cb32d40-5748-4320-bfbe-869cebd5dded,serve,neutral,neutral,,,1789430143771,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #10 serve neutral
74d8f729-f564-4589-b367-240861603095,6e7eeb39-c0dc-448d-b595-297a3041c17a,68dbc96b-3a5c-4730-bb82-cfad0e648146,103,1,9,11,1df68542-fd9a-4794-8afb-fd63936ae052,,reception,neutral,neutral,,,1789430145382,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 Sem atleta identificado reception neutral
33a88e67-14e5-45fd-971d-7cb0094d9aa0,6e7eeb39-c0dc-448d-b595-297a3041c17a,68dbc96b-3a5c-4730-bb82-cfad0e648146,104,1,9,11,1df68542-fd9a-4794-8afb-fd63936ae052,74d321c7-d2cd-4467-8755-d401df25fc73,attack,point,excellent,,,1789430152565,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #05 attack excellent
fd5690ac-32f9-4bd6-8594-c7e867cf20d3,6e7eeb39-c0dc-448d-b595-297a3041c17a,9937e831-f957-4d53-b1ef-7481b2c2ddfd,107,1,10,11,1df68542-fd9a-4794-8afb-fd63936ae052,5338990d-a94c-414b-9fbc-bd273efd5aa5,serve,neutral,neutral,,,1789430166863,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #14 serve neutral
